year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
1997,Belgium,0,.027537931,.0049588769,5.5830824e-19,.03183328,.023238162,.035956446,.039785758,.99997818,.99981415,.017392477,.033627752,.028332826,.037033297,.016081713,.026571993,.00060667464
1998,Belgium,0,.02569408,.0050177039,3.5723108e-30,.03183328,.01897631,.029345581,.040494345,.96258968,.166427,.011036725,.033627752,.022182958,.030186912,.024445562,.038665846,.00081842847
1999,Belgium,0,.025423136,.0069803265,1.4288895e-19,.03183328,.017377518,.053610407,.031838298,.99942207,.9997015,.0088375332,.033627752,.019890126,.028970735,.025448207,.040299479,.016845172
2000,Belgium,0,.035713345,.0089446772,2.9202057e-27,.03183328,.02240674,.04253519,.037736401,.66849202,.0443496,.010309437,.033627752,.026080582,.055322211,.03886709,.043371618,.015202621
2001,Belgium,0,.016866894,.014068466,3.2818556e-29,.03183328,.021177413,.046192825,.034061387,.99759877,.99641597,.021573264,.033627752,.026030816,.055700473,.038779408,.039431334,.043716844
2002,Belgium,0,.036470775,.0056535886,8.9052974e-18,.03183328,.019387942,.027458956,.027447905,.99843472,.99991751,.03027954,.033627752,.02381617,.040842932,.032885257,.041616961,.11222643
2003,Belgium,0,.023031846,.032613348,5.1265510e-24,.03183328,.020563148,.043748651,.026670365,.75176889,.47701433,.01646225,.033627752,.02411109,.034019433,.029172231,.048126791,.014711676
2004,Belgium,0,.019286253,.0088773305,3.0475746e-24,.03183328,.019361731,.018889546,.029576086,.9973861,.42161414,.0049455492,.033627752,.022983555,.023993524,.022532586,.0495263,.0010864483
2005,Belgium,0,.028122053,.0023568009,2.8919057e-29,.03183328,.01243101,.034126654,.033414192,.0037943921,.000012050429,.0024207861,.033627752,.014974182,.033494003,.023910999,.045452967,.0011900904
2006,Belgium,0,.021302247,.003683825,0,.03183328,.013800333,.044787217,.036024768,.99989754,.9980765,.011804959,.033627752,.016788892,.038586743,.032257203,.036967412,.0018970408
